,Estimate#,Converted#,CompanyName,PriceTotal,DateCreated,DateConverted,DateLost,DateVoided
245,7619,175003,FLCJ Jacksonville Fuel Depot,94.5,1/9/2019 14:15,1/14/2019 16:48,,
246,7620,173661,Southeast Georgia Health System,400.18,1/9/2019 14:45,1/10/2019 7:27,,
247,7621,175712,Brayman Precast LLC,1624.45,1/9/2019 14:46,1/16/2019 13:12,,
248,7622,174251,UV Green Cure,240.5,1/9/2019 15:13,1/11/2019 12:23,,
249,7623,179284,Fastsigns 2067,526.8,1/9/2019 15:18,1/28/2019 11:47,,
250,7624,,Montana Doorways Plus,108.5,1/9/2019 15:40,,2/20/2019 15:51,
251,7625,173671,Marketshare Inc,99,1/9/2019 15:52,1/10/2019 8:17,,
252,7626,174402,Elizabeth Newland,180.5,1/10/2019 7:21,1/11/2019 16:34,,
253,7627,173876,Washing Systems,1217.16,1/10/2019 8:01,1/10/2019 13:09,,
254,7628,173828,Vantage Construction.,279,1/10/2019 8:04,1/10/2019 12:23,,
255,7629,173733,Rush Overland,21,1/10/2019 8:48,1/10/2019 10:14,,
256,7630,175542,Seaport Residential LLC,96.5,1/10/2019 9:13,1/16/2019 10:29,,
257,7631,174240,T-Mobile,2050.52,1/10/2019 9:49,1/11/2019 12:01,,
258,7632,174839,"Tennessee Rand, Inc.",77,1/10/2019 10:50,1/14/2019 14:19,,
259,7633,174164,"Bright Solutions of Ohio, Inc.",693.5,1/10/2019 10:53,1/11/2019 10:35,,
260,7634,,Futures Without Violence,1636.5,1/10/2019 11:22,,3/25/2019 13:49,
261,7635,,Weil Pump,818.95,1/10/2019 13:06,,1/18/2019 13:12,
262,7636,174729,DAI General Contracting,392.5,1/10/2019 14:49,1/14/2019 12:16,,
289,7637,182029,Atchison Hospital,32.5,1/10/2019 15:13,2/5/2019 10:28,,
290,7638,,Desco Inc.,154.25,1/10/2019 16:15,,4/11/2019 13:52,
291,7639,176191,MARQUARDT SWITCHES INC.,276.5,1/10/2019 18:00,1/17/2019 11:22,,
292,7640,175536,ALK,77,1/11/2019 7:12,1/16/2019 9:58,,
293,7641,184405,Long Branch Board of Education,306.5,1/11/2019 7:36,2/12/2019 10:07,,
